TIPO;REGISTRO_SANITARIO;NOMBRE_COMERCIAL;"NOMBRE_GENERICO	";FORMA_FARMACEUTICA;CONCENTRACION;LABORATORIO;BAJO_LICENCIA;PARA_TERCEROS;PAIS_ORIGEN;EMPRESA_PROVEEDORA
NN;22961;REUMALGIN;SALICILATO DE METILO,MENTOL;UNGUENTO;"5 %;2.5%";IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
NN;22970;IFARBORANGE;VITAMINA A,D Y C;EMULSION;"5700 UI; 570UI; 14MG";IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
II;23015;LERTUS;DICLOFENACO SODICO;GEL;1%;FARMACÉUTICA PARAGUAYA S.A.;/;/;PARAGUAY;TECNOFARMA S.A.
NN;23064;BIL 13;"OROTATO DE COLINA; AC. DEHIDROCÓLICO; OTROS";COMPRIMIDO RECUBIERTO;VARIAS;LABORATORIOS BAGO DE BOLIVIA S.A.;/;/;BOLIVIA;LABORATORIOS BAGO DE BOLIVIA S.A.
PNI;23086;ABRILAR EA 575;ESTRACTO SECO DE HOJAS DE HIEDRA;JARABE;0.7G/100ML;ENGELHARD ARZNEIMITTEL GMBH& CO. KG;/;/;ALEMANIA;MEGALABS BOLIVIA S.R.L.
NN;23095;HEMORSAN®;VER FORMULA;UNGUENTO;VER FORMULA;DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
II;23127;CEBION®;ÁCIDO  ASCÓRBICO (VITAMINA C);SOLUCIÓN ORAL GOTAS;100MG/ML;ALTEA FARMACÉUTICA S.A.;PROCTER & GAMBLE;/;COLOMBIA;DROGUERIA INTI S.A.
NN;23162;SINALERG ® 4;MALEATO DE CLORFENIRAMINA;COMPRIMIDO;4MG;INDUSTRIA QUIMICO FARMACEUTICA SIGMA CORP. S.R.L.;/;/;BOLIVIA;IND. QUIMICA FARMACEUTICA SIGMA CORP SRL
NN;23187;MENTISAN® PLUS DIA;"PARACETAMOL;PSEUDOEFEDRINA;VITAMINA C;LORATADINA";GRANULADO;"500;50;500;10MG";DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
NN;23260;MENTISAN ® PLUS NOCHE;"PARACETAMOL;PSEUDOEFEDRINA;CLORFENIRAMINA; VIT C";GRANULADO;"500MG; 50MG; 5MG; 50";DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
II;23263;GRIFANTIL;ÁCIDO ACETIL SALICÍLICO;COMPRIMIDO;100MG;INDUFAR C.I.S.A. DIVISION MEDICAMENTOS CARDIOLÓGICOS;/;/;PARAGUAY;IMFAR S.R.L
NN;23297;C-VIMIN ®1000;ÁCIDO ASCÓRBICO;GRANULADO;5G;DROGUERIA INTI S.A.;/; /;BOLIVIA;DROGUERIA INTI S.A.
NN;23306;TUSBOL® 10MG/5ML;DEXTROMETORFANO BROMHIDRATO;JARABE;10 MG/5 ML;TERAPEUTICA BOLIVIANA S.A. (TERBOL S.A.);/;/;BOLIVIA;TERBOL S.A.(LAB.TERAPEUTICA BOLIVIANA SA)
NN;23332;FLAVICOLD® PLUS NOCHE;"PARACETAMOL;PSEUDOEFEDRINA CLORHIDRATO;;DEXTROMETO";POLVO GRANULADO;"650MG;60MG;30MG;4MG/";LABORATORIOS DE COSM.Y FARMOQUIMICA S.A.COFAR S.A.;/;/;BOLIVIA;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A.
II;23356;ANTIGRIPAL COMPUESTO L.CH. D/N;VER FORMULA;COMPRIMIDO RECUBIERTO;VER FORMULA;LABORATORIO CHILE S.A.;/;/;CHILE;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
NN;23361;CLORFENAMINA  2MG;CLORFENAMINA MALEATO;JARABE;2MG/5ML;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;23364;CLORFENAMINA 4MG;CLORFENAMINA MALEATO;COMPRIMIDO;4MG;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
II;23398;FLORESTOR®;SACCHAROMYCES BOULARDII CNCM I-745;CÁPSULA;250MG;BIOCODEX;/;DROGUERIA INTI  S.A.;FRANCIA;DROGUERIA INTI S.A.
NN;23409;FRIXO FORT®;SALICILATO DE METILO / ALCANFOR / MENTOL;UNGÜENTO DÉRMICO;12,5G/1.250G/1.625G;"INDUSTRIA QUIMICO FARMACEUTICA  SIGMA CORP. S.R.L.
";/;/;BOLIVIA;IND. QUIMICA FARMACEUTICA SIGMA CORP SRL
NN;23423;C-VIMIN® 2000 NARANJA;ACIDO ASCORBICO;GRANULADO;2G;DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
NN;23424;SULFATO DE MAGNESIO;SULFATO DE MAGNESIO HEPTAHIDRATADO;POLVO;20G;DROGUERIA INTI S.A.;/;MARCA: PHARMANDINA;BOLIVIA;DROGUERIA INTI S.A.
NN;23557;COTRIM ®1%;CLOTRIMAZOL;CREMA;1%;GRUPO ALCOS S.A.;/;/;BOLIVIA;GRUPO ALCOS S.A.
NN;23558;CALMADOL®;ÁCIDO ACETILSALICÍLICO - CAFEÍNA;COMPRIMIDO;"500MG; 20MG.";GRUPO ALCOS S.A. ;/;/;BOLIVIA;GRUPO ALCOS S.A.
NN;23696;AGUA OXIGENADA  3%;PERÓXIDO DE HIDROGENO;SOLUCION;3%;"IFARBO LTDA.
";/;/;BOLIVIA;IFARBO LTDA.
NN;23698;VIOLETA DE GENCIANA;VIOLETA DE GENCIANA;SOLUCION;1%;IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
NN;24055;ESPASMO TROPINA®;ESCOPOLAMINA (HIOSCINA) BUTILBROMURO;COMPRIMIDO;10MG;LABORATORIOS ALFA S.A.;/;/;BOLIVIA;LABORATORIOS ALFA S.A.
NN;24150;BEBE-LAX;GLICERINA;SOLUCIÓN RECTAL;2.26G;DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
II;24210;Z- CAL 1000;DICLOFENACO DIETILAMINA;GEL;2,320G/100G;INDUFAR C.I.S.A.DIVISION LABORATORIOS INDUFAR;/;/;PARAGUAY;IMFAR S.R.L
NN;24323;ACICLOVIR 5%;ACICLOVIR;CREMA DERMICA;5G/100G(5%);LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;24346;MAGNESIA  IFARBO;HIDROXIDO DE MAGNESIO;SUSPENSIÓN;800MG/10ML;IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
NN;24347;MERCURO CROMO;MERBROMINA;SOLUCION;2%;IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
NN;24455;SOROJCHI PILLS ®;ACIDO ACETIL SALICILICO - ACETAMINOSALOL (SALOFENO) - CAFEINA;CAPSULA;325MG-160MG-15MG;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
II;24780;TYPIREC ®;PARACETAMOL,CLORFENIRAMINA MALEATO,DEXTROMETORFANO BROMHIDRATO,PSEUDOEFEDRINA CLORHIDRATO;CAPSULA BLANDA;250MG-2,5MG-10MG,30M;PROCAPS S.A.;/;Y ACONDICONADO POR LABORATORIOS FARMACEUTICOS LAFAR S.A.;COLOMBIA;LABORATORIOS FARMACEUTICOS  LAFAR S.A.
NN;25009;CALMADOLCITO®;ÁCIDO ACETILSALICíLICO;COMPRIMIDO MASTICABLE;100 MG;GRUPO ALCOS S.A.;/;/;BOLIVIA;GRUPO ALCOS S.A.
NN;25089;PAN VIMIN MINERALIZADO;VITAMINAS, MINERALES;JARABE;varias;DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
NN;25130;AZUFRE JABON MEDICADO;AZUFRE;JABÓN SOLIDO;10 %;IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
NN;25230;TUSIVAL;PROPOLEOS ESTABILIZADOS;JARABE;10%;GRUPO EMPRESARIAL VALENCIA S.R.L.;/;/;BOLIVIA;GRUPO EMPRESARIAL VALENCIA S.R.L.
NN;25297;DG-6®;CLORURO DE LAPIRIO;SOLUCION;10G/100ML;DROGUERIA INTI  S.A;/;/;BOLIVIA;DROGUERIA INTI S.A.
NN;25417;BICARBONATO DE SODA;BICARBONATO DE SODIO;POLVO;20G;DROGUERIA NTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
II;25533;PROLONG 1000;LIDOCAÍNA;AEROSOL;11,5G/100G;LABORATORIO MAVER S.A.;/;/;CHILE;SOUTH AMERICAN EXPRESS S.A.
II;25723;TIALGIN ®;PARACETAMOL;COMPRIMIDO;1G;MONTE VERDE S.A.;/;/;ARGENTINA;TECNOFARMA S.A.
II;25863;DOLOFEN FORTE;"ACETAMINOFEN; CAFEINA ANHIDRA";TABLETA;"500MG; 50MG";PROCAPS S.A.;/;/;COLOMBIA;PROMEDICAL S.A.
II;25866;PEDIAVIT JALEA;VER FÓRMULA;JALEA;VE FÓRMULA;PROCAPS S.A.;/;/;COLOMBIA;PROMEDICAL S.A.
II;25986;ASPIRINA;ÁCIDO ACETILSALICÍLICO;COMPRIMIDO;500MG;BAYER S.A.;BAYER AG - ALEMANIA;/;ARGENTINA;BAYER BOLIVIANA LTDA
II;25987;ASPIRINETAS ®;ÁCIDO ACETILSALICÍLICO;COMPRIMIDO;100MG;BAYER S.A.;BAYER A.G. ALEMANIA;/;ARGENTINA;BAYER BOLIVIANA LTDA
NN;26135;PARACETAMOL 100MG/ML;PARACETAMOL;GOTAS;100 MG/ML;LABORATORIO HAHNEMANN S.R.L.;/;/;BOLIVIA;LABORATORIO HAHNEMANN S.R.L.
NN;26155;AGUA OXIGENADA 10 VOL.;AGUA OXIGENADA;SOLUCIÓN;10VOL.(3%);IND.QUIMICA BOLIVIANA INQUIBOL S.R.L.;/;/;BOLIVIA;"IND. QUIMICA BOLIVIANA ""INQUIBOL"" S.R.L."
II;26185;TRIOVAL SUSPENSION ORAL P.GOTAS;PARACETAMOL;GOTAS;"12;0.75;0.075G/100ML";LABORATORIOS SAVAL S.A;/;/;CHILE;FARMAVAL BOLIVIA S.R.L.
NN;26277;CLOREX®;CLORHEXIDINA CLORHIDRATO;COMPRIMIDO;5MG;INDUSTRIA QUIMICO FARMACEUTICA SIGMA CORP S.R.L.;/;/;BOLIVIA;IND. QUIMICA FARMACEUTICA SIGMA CORP SRL
II;26628;CAFIASPIRINA;"ACIDO ACETIL SALICILICO; CAFEINA";COMPRIMIDO;"500MG; 50MG";BAYER S.A.;BAYER AG - ALEMANIA;/;ARGENTINA;BAYER BOLIVIANA LTDA
NN;26677;GUAYDEL;GUAYACOLATO DE GLICERILO;JARABE;100MG/5ML;LABORATORIO QUIMICO FARMACEUTICO INDUSTRIAL DELTA S.A.;/;/;BOLIVIA;LABORATORIO QUÍMICO FARMACÉUTICO IND. DELTA S
II;26699;IBUPROFENO 100MG/5ML;IBUPROFENO;SUSPENSIÓN ORAL;100MG/5ML;LABORATORIOS PORTUGAL S.R.L.;/;/;PERU;MACANUDO S.R.L.
II;26761;IBUFLAMAR - P;IBUPROFENO, PARACETAMOL;COMPRIMIDO RECUBIERTO;"400MG;500MG";INDOCO REMEDIES LIMITED;/;/;INDIA;SAN FERNANDO S.R.L.
NN;26895;NISTATINA;NISTATINA;CREMA;100.000UI/G;LAB. QUIMICO FARMACEUTICO IND. DELTA S.A.;/;/;BOLIVIA;LABORATORIO QUÍMICO FARMACÉUTICO IND. DELTA S
II;27502;BIO-GRAMON CALIENTE CON VITAMINA C;"PARACETAMOL; GUARANINA; ACIDO ASCORBICO";POLVO GRANULADO;"500MG;50MG;375MG";GRAMON PARAGUAY S.A.C.I.F.I.A.;/;/;PARAGUAY;GRAMON BOLIVIA LTDA.
NN;27650;IBUPROFENO 100MG/5ML;IBUPROFENO;SUSPENSION ORAL;100MG/5ML;LABORATORIO HAHNEMANN S.R.L.;/;/;BOLIVIA;LABORATORIO HAHNEMANN S.R.L.
NN;28899;DIGESTOGAS® 300;SIMETICONA;CÁPSULA;300MG;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A. COFAR S.A.;/;/;BOLIVIA;"LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A. ""COFAR S.A."""
II;29729;CLOTRIMAZOL 1%;CLOTRIMAZOL;CREMA;1 %;LABORATORIOS PORTUGAL S.R.L.;/;/;PERU;MACANUDO S.R.L.
NN;29783;SALICILADA POMADA;SALICILATO DE METILO, MENTOL, ALCANFOR;POMADA;5.2G,0.9G, 0.9G;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L.";/;/;BOLIVIA;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L."
NN;29938;NIXO ROSARIO;AC.BENZOICO, ACIDO SALICILICO, DIOXIDO DE TITANIO;POMADA;4.85%, 2.45%, 8%;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L.";/;/;BOLIVIA;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L."
NN;30295;KETOCONAZOL 2%;KETOCONAZOL;POMADA;2 %;"LAB. QUÍMICO FARMACEUTICO INDUSTRIAL  DELTA S.A.
";/;/;BOLIVIA;LABORATORIO QUÍMICO FARMACÉUTICO IND. DELTA S
II;30399;ANTIGRIPINA PLUS;"PARACETAMOL; FENILEFRINA; CLORFENAMINA";COMPRIMIDO RECUBIERTO;"500 mg; 5 mg; 2 mg";CIFARMA S.A.C.;/;QUIMICA SUIZA S.A.C.;PERU;QUIMIZA LTDA.
II;30407;XICANIL;"TRICLOSAN; AZUFRE SUBLIMADO; RESORCINOL";CREMA;"0,1G;3G;2G";GRAMON PARAGUAY S.A.C.I.F.I.A.;/;/;PARAGUAY;GRAMON BOLIVIA LTDA.
II;30496;XICANIL-PIEL;"TRICLOSAN; AZUFRE SUBLIMADO; RESORCINOL";CREMA;"0,1; 3; 2G";GRAMON PARAGUAY S.A.C.I.F.I.A;/;/;PARAGUAY;QUIMFA BOLIVIA S.A.
II;30497;XICANIL DESVANECEDORA;"TRICLOSAN; AZUFRE SUBLIMADO; RESORCINOL";CREMA;"0,1;3 ; 2g.";GRAMON PARAGUAY S.A.C.I.F.I.A.;/;/;PARAGUAY;QUIMFA BOLIVIA S.A.
NN;30522;PARACETAMOL;PARACETAMOL;JARABE;125MG/5ML;LAB. QUIMICO FARMACEUTICO IND.DELTA S.A.;/;/;BOLIVIA;LABORATORIO QUÍMICO FARMACÉUTICO IND. DELTA S
NN;30788;DOLOGRIP® INFANTIL;PSEUDOEFREDINA HCL, CLORFENIRAMINA MALEATO,....;JARABE;"15MG, 2MG;10MG;125MG";LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;30891;VITAMINA C;ACIDO ASCORBICO;GRANULADO;1G;LABORATORIO QUIMICO FARMACEUTICO INDUSTRIAL DELTA S.A.;/;/;BOLIVIA;LABORATORIO QUÍMICO FARMACÉUTICO IND. DELTA S
NN;30992;DOLOTERM SIMPLE;IBUPROFENO;SUSPENSION ORAL;100MG/5ML;LABORATORIOS FARMACEUTICOS LAFAR S.A.;/;/;BOLIVIA;LABORATORIOS FARMACEUTICOS  LAFAR S.A.
NN;31040;REFRIANEX  DIA NOCHE;"D-ISOEFEDRINA;PARACET / D-ISOEFEDRINA;CLORFEN;PARA";COMPRIMIDO RECUBIERTO;VARIAS;LABORATORIOS BAGO DE BOLIVIA S.A.;/;/;BOLIVIA;LABORATORIOS BAGO DE BOLIVIA S.A.
NN;31094;SARNOL ® 5%;BENZOATO DE BENCILO;CREMA DERMICA;5G/100G;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;31234;TÓNICO INTI SC;VER FORMULA;JARABE;VARIAS;DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
II;31254;IBUDOLANET;IBUPROFENO;SUSPENSIÓN;100MG;GRAMON PARAGUAY S.A.C.I.F.I.A.;/;/;PARAGUAY;GRAMON BOLIVIA LTDA.
NN;31255;MENTISAN® PLUS;"PARACETAMOL; PSEUDOEFEDRINA; CLORFENIRAMINA";GOTAS;"100MG;7,5MG;0,75MG";DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
II;31305;C.M.V. THERAPEUTIC;VITAMINAS Y MINERALES;POLVO PARA SOLUCION ORAL;VARIAS;NUTRISET;/;/;FRANCIA;SALUD Y NUTRICION S.R.L.
NN;31308;MENTISAN® PLUS;PARACETAMOL+PSEUDOEFEDRINA+CLORFENIRAMINA MALEATO+DEXTROMETORFANO;SUSPENSIÓN;"250MG;30MG;2MG;15MG";DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
